physics_weight,train_empirical,train_physics,test_empirical,test_physics,test_mae
0.0,54.6634407043457,26.139713287353516,65.73219299316406,21.332490921020508,42.70449447631836
0.01,64.34632873535156,35.50646209716797,74.25984954833984,30.501379013061523,44.52050018310547
0.02,57.34860610961914,26.713951110839844,71.39168548583984,25.279916763305664,40.424556732177734
0.03,66.71165466308594,34.33222198486328,81.73113250732422,30.774356842041016,48.139251708984375
0.04,66.75357818603516,25.456130981445312,60.81866455078125,19.780956268310547,35.529380798339844
0.05,68.46041107177734,30.518632888793945,63.368125915527344,43.48957061767578,38.469295501708984
0.06,59.16362380981445,15.239811897277832,59.85403823852539,16.970298767089844,35.812416076660156
0.07,62.617549896240234,18.24747085571289,58.156925201416016,23.322107315063477,36.9979362487793
0.08,63.686126708984375,27.010332107543945,63.96770477294922,19.788494110107422,41.21907424926758
0.09,58.32481384277344,27.25214195251465,71.34430694580078,21.033689498901367,44.32786178588867
0.1,65.31576538085938,17.900381088256836,59.88289260864258,16.51123809814453,31.978612899780273
0.11,64.37226104736328,16.08383560180664,62.11787796020508,7.471663475036621,35.632354736328125
0.12,57.330352783203125,30.085506439208984,75.93812561035156,23.961166381835938,45.13770294189453
0.13,58.458648681640625,18.080236434936523,75.3992919921875,17.169944763183594,45.70353317260742
0.14,80.5184555053711,45.507469177246094,70.8495864868164,35.9539909362793,50.638545989990234
0.15,60.6101188659668,9.399730682373047,62.94978713989258,4.545454025268555,37.64474105834961
0.16,73.04861450195312,44.08419418334961,89.67677307128906,72.77843475341797,61.18085861206055
0.17,57.10654830932617,19.844579696655273,67.35681915283203,15.799051284790039,40.66734313964844
0.18,57.68986511230469,20.069990158081055,68.51756286621094,14.789291381835938,46.2828369140625
0.19,59.29157638549805,12.19883918762207,68.98191833496094,20.080236434936523,43.921566009521484
0.2,58.138545989990234,24.977825164794922,66.94055938720703,12.175030708312988,39.77482986450195
0.21,59.92326354980469,26.248056411743164,70.80559539794922,21.218608856201172,42.64478302001953
0.22,61.282066345214844,37.21034240722656,93.99038696289062,39.92220687866211,60.7573127746582
0.23,62.573612213134766,15.191160202026367,71.55157470703125,17.19093894958496,41.14421463012695
0.24,61.688358306884766,10.184671401977539,65.69085693359375,14.311923027038574,37.68307876586914
0.25,56.79650115966797,18.302154541015625,68.1310043334961,14.214255332946777,45.002479553222656
0.26,70.97090148925781,41.87681579589844,67.05343627929688,39.996402740478516,45.73946762084961
0.27,60.90275192260742,12.774325370788574,67.38796997070312,12.560555458068848,37.883033752441406
0.28,61.99585723876953,18.130334854125977,75.42239379882812,23.608722686767578,47.41677474975586
0.29,65.15413665771484,26.725357055664062,65.88145446777344,30.548492431640625,48.42196273803711
0.3,62.67885971069336,19.032398223876953,72.27815246582031,25.254262924194336,46.026222229003906
0.31,61.80393600463867,17.91299819946289,54.58673858642578,24.724519729614258,32.96104049682617
0.32,57.46110153198242,14.726021766662598,68.84358978271484,17.050485610961914,40.69306182861328
0.33,57.047794342041016,25.1571102142334,64.69622039794922,19.819128036499023,36.800472259521484
0.34,60.72138595581055,13.205362319946289,62.69033432006836,12.97049617767334,40.36042404174805
0.35000000000000003,70.1673583984375,29.195575714111328,66.39159393310547,20.7005558013916,35.64072799682617
